iter	Accuracy	Logloss
0	0.7707794075	0.6678369758
1	0.7664653437	0.6479855587
2	0.7771067012	0.625693065
3	0.7805579523	0.6078496888
4	0.7825711821	0.5907871242
5	0.7841530055	0.5756274594
6	0.7861662353	0.5640556635
7	0.7850158182	0.5540473648
8	0.7857348289	0.5426905546
9	0.787029048	0.5334447502
10	0.7894736842	0.5254155255
11	0.7909117055	0.5175594304
12	0.792637331	0.5121970376
13	0.7940753523	0.5064193209
14	0.7940753523	0.5009792577
15	0.7942191544	0.4959285329
16	0.7939315502	0.4897438045
17	0.7943629566	0.4849181413
18	0.7949381651	0.4807445155
19	0.7936439459	0.4762889638
20	0.7955133736	0.4730481685
21	0.7960885821	0.470459472
22	0.7969513949	0.4670755705
23	0.7968075928	0.4635930619
24	0.7960885821	0.4608358529
25	0.7960885821	0.4581570068
26	0.7972389991	0.4557075341
27	0.7981018119	0.4534388175
28	0.7985332183	0.4505963168
29	0.7983894162	0.4478332187
30	0.7998274374	0.4463945396
31	0.7996836353	0.4437417126
32	0.7996836353	0.4417973301
33	0.800402646	0.4403385229
34	0.7999712396	0.4386878758
35	0.800402646	0.4369707332
36	0.8014092609	0.4351276666
37	0.8014092609	0.4338440033
38	0.8014092609	0.4325841694
39	0.8019844694	0.4316139819
40	0.8031348864	0.4305532297
41	0.8028472821	0.4291841739
42	0.8031348864	0.4277579799
43	0.8028472821	0.4265988504
44	0.8029910843	0.4254917844
45	0.8037100949	0.4240287262
46	0.8048605119	0.4233186216
47	0.8039976992	0.4211986837
48	0.8054357204	0.4199570765
49	0.8051481162	0.4188098195
50	0.8048605119	0.4181293121
51	0.8057233247	0.4172737872
52	0.8064423353	0.4155315485
53	0.8067299396	0.4145725508
54	0.8068737417	0.4136564577
55	0.8070175439	0.4129759533
56	0.8074489502	0.4120403264
57	0.8068737417	0.4114715789
58	0.8075927524	0.4109872859
59	0.8075927524	0.4104910608
60	0.8078803566	0.4089971293
61	0.808311763	0.4071651865
62	0.808311763	0.4064814474
63	0.8078803566	0.4057017313
64	0.8075927524	0.4045308018
65	0.8077365545	0.4039394348
66	0.8074489502	0.4031576512
67	0.8081679609	0.4024978929
68	0.8085993673	0.4017833995
69	0.8084555651	0.4010776456
70	0.8084555651	0.4004750282
71	0.808311763	0.3997496761
72	0.8088869715	0.3990953382
73	0.8093183779	0.3984982712
74	0.8091745758	0.397588039
75	0.8090307737	0.397235909
76	0.8100373886	0.3965766995
77	0.8096059822	0.3960824668
78	0.8098935864	0.3954931357
79	0.8101811907	0.3949737794
