iter	Passed	Remaining
0	10	10418
1	15	7797
2	21	7237
3	27	6723
4	32	6468
5	37	6273
6	43	6180
7	48	5996
8	53	5846
9	57	5736
10	62	5653
11	67	5556
12	72	5518
13	77	5448
14	81	5351
15	85	5281
16	90	5261
17	95	5198
18	99	5136
19	103	5071
20	108	5050
21	112	4992
22	116	4929
23	119	4858
24	122	4795
25	126	4740
26	130	4696
27	134	4653
28	137	4609
29	141	4567
30	144	4526
31	148	4498
32	152	4464
33	156	4441
34	160	4415
35	163	4387
36	167	4357
37	171	4331
38	174	4299
39	177	4270
40	181	4247
41	185	4221
42	188	4198
43	192	4178
44	195	4158
45	199	4138
46	203	4119
47	206	4103
48	210	4090
49	214	4082
50	218	4067
51	222	4050
52	225	4034
53	229	4021
54	233	4007
55	237	3998
56	240	3985
57	244	3972
58	248	3957
59	251	3937
60	255	3926
61	258	3917
62	263	3915
63	267	3907
64	271	3904
65	275	3898
66	279	3893
67	284	3897
68	288	3896
69	292	3891
70	297	3889
71	301	3883
72	305	3876
73	308	3866
74	313	3860
75	317	3856
76	321	3848
77	325	3850
78	329	3839
79	333	3830
80	336	3820
81	340	3813
82	345	3815
83	348	3803
84	352	3798
85	356	3788
86	360	3780
87	364	3776
88	368	3769
89	372	3765
90	376	3755
91	379	3750
92	383	3741
93	387	3734
94	391	3726
95	394	3719
96	398	3714
97	402	3707
98	407	3704
99	410	3697
100	414	3689
101	418	3681
102	421	3674
103	425	3669
104	429	3661
105	433	3656
106	437	3649
107	441	3645
108	445	3640
109	449	3634
110	453	3628
111	456	3619
112	460	3616
113	464	3610
114	468	3604
115	472	3601
116	476	3594
117	480	3590
118	483	3582
119	487	3578
120	491	3572
121	495	3567
122	499	3561
123	503	3555
124	507	3550
125	510	3543
126	514	3539
127	518	3532
128	523	3531
129	527	3527
130	530	3521
131	534	3517
132	538	3510
133	542	3505
134	546	3500
135	550	3494
136	554	3490
137	557	3484
138	562	3481
139	565	3475
140	569	3469
141	573	3463
142	576	3457
143	581	3454
144	584	3447
145	588	3442
146	592	3435
147	595	3430
148	599	3424
149	603	3417
150	606	3412
151	610	3405
152	614	3401
153	617	3394
154	621	3388
155	625	3381
156	628	3376
157	632	3369
158	636	3365
159	639	3358
160	643	3353
161	647	3347
162	650	3341
163	654	3336
164	658	3330
165	662	3328
166	666	3322
167	670	3319
168	673	3314
169	677	3307
170	681	3302
171	684	3296
172	688	3292
173	692	3286
174	696	3282
175	699	3276
176	703	3271
177	707	3265
178	710	3260
179	714	3255
180	718	3250
181	722	3247
182	726	3242
183	730	3239
184	734	3234
185	737	3229
186	741	3223
187	745	3218
188	748	3212
189	752	3207
190	756	3205
191	760	3199
192	764	3194
193	767	3189
194	771	3185
195	775	3180
196	779	3175
197	782	3171
198	786	3166
199	790	3162
200	794	3156
201	798	3153
202	802	3148
203	805	3143
204	809	3138
205	812	3133
206	816	3129
207	820	3123
208	824	3119
209	828	3116
210	832	3111
211	835	3106
212	839	3102
213	843	3098
214	847	3093
215	850	3088
216	854	3083
217	858	3078
218	861	3073
219	865	3069
220	869	3064
221	873	3060
222	877	3056
223	880	3051
224	885	3048
225	888	3044
226	892	3040
227	896	3035
228	900	3031
229	903	3026
230	907	3021
231	911	3017
232	914	3011
233	919	3009
234	922	3004
235	927	3001
236	930	2996
237	934	2991
238	938	2987
239	941	2981
240	945	2977
241	948	2972
242	952	2968
243	956	2962
244	959	2958
245	963	2953
246	967	2948
247	970	2943
248	974	2940
249	978	2935
250	982	2931
251	986	2927
252	989	2923
253	993	2919
254	997	2914
255	1001	2911
256	1005	2907
257	1009	2903
258	1013	2900
259	1017	2895
260	1021	2891
261	1025	2888
262	1029	2885
263	1033	2882
264	1038	2879
265	1042	2876
266	1046	2871
267	1049	2866
268	1053	2863
269	1057	2858
270	1061	2855
271	1065	2852
272	1069	2848
273	1073	2845
274	1078	2842
275	1082	2839
276	1086	2835
277	1090	2831
278	1094	2827
279	1097	2822
280	1101	2819
281	1105	2814
282	1109	2810
283	1113	2807
284	1117	2803
285	1121	2799
286	1124	2794
287	1129	2791
288	1132	2787
289	1137	2784
290	1141	2782
291	1145	2778
292	1150	2775
293	1154	2772
294	1157	2767
295	1162	2763
296	1166	2759
297	1170	2756
298	1174	2753
299	1179	2751
300	1183	2748
301	1187	2743
302	1191	2740
303	1195	2737
304	1199	2734
305	1204	2731
306	1208	2727
307	1212	2723
308	1216	2719
309	1219	2715
310	1223	2711
311	1227	2706
312	1231	2703
313	1235	2700
314	1239	2695
315	1243	2691
316	1246	2686
317	1250	2682
318	1254	2678
319	1258	2673
320	1261	2668
321	1265	2664
322	1269	2659
323	1272	2655
324	1276	2651
325	1279	2646
326	1283	2642
327	1287	2637
328	1290	2632
329	1294	2627
330	1298	2624
331	1301	2619
332	1305	2615
333	1309	2611
334	1313	2606
335	1317	2602
336	1320	2598
337	1324	2594
338	1328	2589
339	1332	2586
340	1335	2581
341	1339	2577
342	1343	2573
343	1347	2568
344	1350	2564
345	1354	2559
346	1357	2555
347	1361	2550
348	1365	2546
349	1368	2542
350	1372	2538
351	1376	2533
352	1380	2529
353	1383	2525
354	1387	2520
355	1391	2517
356	1395	2512
357	1399	2508
358	1402	2504
359	1406	2500
360	1409	2495
361	1413	2491
362	1417	2487
363	1421	2483
364	1425	2479
365	1428	2474
366	1432	2470
367	1436	2466
368	1440	2462
369	1443	2458
370	1447	2454
371	1451	2449
372	1454	2445
373	1458	2441
374	1461	2436
375	1465	2432
376	1469	2428
377	1473	2423
378	1476	2419
379	1480	2415
380	1484	2411
381	1488	2407
382	1491	2403
383	1495	2399
384	1499	2395
385	1503	2390
386	1506	2386
387	1510	2382
388	1514	2378
389	1517	2373
390	1521	2369
391	1525	2365
392	1528	2361
393	1532	2356
394	1536	2352
395	1539	2348
396	1543	2344
397	1547	2340
398	1551	2336
399	1554	2332
400	1558	2327
401	1562	2323
402	1565	2319
403	1569	2315
404	1573	2311
405	1577	2307
406	1581	2304
407	1584	2299
408	1588	2296
409	1592	2291
410	1596	2287
411	1599	2283
412	1603	2279
413	1607	2275
414	1610	2270
415	1614	2266
416	1618	2262
417	1621	2258
418	1625	2253
419	1629	2249
420	1632	2245
421	1636	2241
422	1640	2237
423	1643	2233
424	1647	2229
425	1652	2226
426	1656	2223
427	1660	2218
428	1664	2215
429	1668	2211
430	1672	2207
431	1675	2203
432	1680	2200
433	1684	2196
434	1688	2192
435	1692	2188
436	1696	2185
437	1700	2181
438	1704	2178
439	1708	2174
440	1712	2170
441	1716	2166
442	1720	2162
443	1724	2159
444	1727	2155
445	1732	2151
446	1735	2147
447	1739	2143
448	1744	2141
449	1750	2139
450	1754	2136
451	1762	2136
452	1766	2133
453	1770	2129
454	1774	2125
455	1778	2121
456	1782	2117
457	1785	2113
458	1789	2109
459	1793	2105
460	1797	2101
461	1801	2097
462	1804	2093
463	1808	2088
464	1812	2085
465	1815	2080
466	1819	2076
467	1823	2072
468	1827	2068
469	1830	2064
470	1834	2060
471	1838	2056
472	1841	2052
473	1845	2048
474	1849	2043
475	1853	2039
476	1856	2035
477	1860	2031
478	1863	2027
479	1867	2023
480	1871	2019
481	1875	2015
482	1879	2011
483	1882	2007
484	1886	2003
485	1890	1999
486	1894	1995
487	1898	1991
488	1901	1987
